time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1668	1.37022	5.02659	0.246569	0.227346	radar	4.03693	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3813	1.44564	4.97152	0.266834	0.24004	lidar	0.957852	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6135	1.52507	4.73628	0.287477	0.253015	radar	1.73337	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8241	1.54698	4.67318	0.27735	0.221603	lidar	1.03819	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0951	1.6016	5.06997	0.276095	0.203316	radar	2.77535	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3826	1.64603	5.14831	0.267919	0.177743	lidar	2.34018	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6123	1.6996	4.97068	0.27123	0.170422	radar	0.616856	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8389	1.76145	4.94119	0.278109	0.168149	lidar	0.207422	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.0975	1.85747	5.23927	0.297221	0.182189	radar	1.18139	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3471	1.881	5.20161	0.277968	0.143077	lidar	0.683877	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6037	1.9432	5.31697	0.278497	0.133487	radar	0.344966	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8069	2.08385	5.25401	0.325968	0.189385	lidar	3.17621	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0754	2.20345	5.48269	0.349552	0.208034	radar	2.04272	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2851	2.34795	5.42454	0.391091	0.250622	lidar	2.43132	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4569	2.49241	4.86294	0.438627	0.302447	radar	9.95993	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7029	2.60192	4.92326	0.452123	0.300336	lidar	0.97592	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9228	2.71391	4.97683	0.468035	0.301108	radar	0.116106	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1511	2.86799	5.03643	0.50179	0.326591	lidar	0.553506	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4018	2.99103	5.36852	0.509205	0.311696	radar	0.95665	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6124	3.04879	5.23346	0.492211	0.267065	lidar	2.51837	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8422	3.21848	5.38513	0.526122	0.294524	radar	3.0201	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0581	3.41536	5.43083	0.572503	0.337778	lidar	0.681873	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2671	3.58739	5.17247	0.607722	0.366558	radar	2.43365	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4812	3.77036	5.22749	0.64087	0.386927	lidar	0.329238	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6914	3.90385	5.20604	0.647993	0.36989	radar	1.14447	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9145	4.03484	5.19403	0.649859	0.347344	lidar	0.319113	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1119	4.18695	4.95407	0.669186	0.352975	radar	0.968047	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3037	4.38035	5.01462	0.704037	0.376649	lidar	0.328315	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5153	4.54767	5.19062	0.716596	0.366365	radar	0.7888	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6921	4.70779	5.1417	0.733699	0.364276	lidar	0.481417	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8503	4.87441	4.66634	0.764095	0.387595	radar	1.83885	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0029	5.1048	4.76487	0.816355	0.432599	lidar	0.826214	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1779	5.25958	4.84593	0.823144	0.410519	radar	1.53111	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.331	5.4405	4.83482	0.846934	0.414724	lidar	0.0943917	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4925	5.58895	4.75678	0.852367	0.393839	radar	2.59842	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6811	5.70592	4.68025	0.835237	0.344193	lidar	1.16467	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8329	5.88266	4.57702	0.856161	0.351068	radar	0.398622	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0007	6.09026	4.67308	0.881443	0.36268	lidar	1.2133	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1549	6.29491	4.81659	0.90483	0.368632	radar	1.00654	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
