time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445150000	11.6202	1.68815	4.99694	0.26522	0.170123	radar	0.626033	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8476	1.75368	4.97474	0.274522	0.171163	lidar	0.253267	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.107	1.84529	5.13497	0.290433	0.178957	radar	1.54904	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3508	1.8765	5.11047	0.279778	0.155417	lidar	0.600427	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6084	1.94003	5.21316	0.281647	0.147463	radar	0.679734	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8105	2.07353	5.16633	0.32135	0.186411	lidar	3.30587	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0807	2.18628	5.3396	0.339852	0.195914	radar	2.70068	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2877	2.32721	5.29783	0.377408	0.229316	lidar	2.63587	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4617	2.4655	5.00256	0.419011	0.269534	radar	11.1571	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7115	2.58287	5.0482	0.43592	0.273553	lidar	0.917031	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9309	2.69319	5.01625	0.452187	0.277106	radar	0.147983	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1599	2.84847	5.05782	0.484746	0.299284	lidar	0.697261	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.412	2.96536	5.22919	0.490801	0.285487	radar	1.29767	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.618	3.03515	5.14529	0.484982	0.261741	lidar	2.28685	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8505	3.19531	5.26413	0.51194	0.276579	radar	3.44972	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0628	3.38906	5.29812	0.555194	0.311475	lidar	1.03196	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2724	3.55512	5.1984	0.586863	0.333834	radar	2.71056	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4879	3.74296	5.24241	0.620877	0.354325	lidar	0.551516	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6979	3.87701	5.20467	0.631072	0.345874	radar	1.03276	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9198	4.01843	5.20843	0.640203	0.336243	lidar	0.206796	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1148	4.17363	5.06856	0.662846	0.347325	radar	1.50228	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3106	4.36898	5.11037	0.695538	0.365428	lidar	0.401374	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5216	4.53418	5.16754	0.708814	0.358209	radar	0.679868	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6981	4.69916	5.13752	0.728718	0.36048	lidar	0.503213	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8525	4.87211	4.88175	0.763352	0.388777	radar	3.34384	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0128	5.10074	4.94141	0.807971	0.418437	lidar	0.849957	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1854	5.25974	4.90972	0.820319	0.408635	radar	1.4344	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3402	5.44226	4.89895	0.843816	0.412165	lidar	0.139416	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4993	5.59718	4.82366	0.85548	0.403017	radar	2.70123	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6864	5.72188	4.77194	0.846414	0.368886	lidar	1.24495	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
